"STATION","NAME","DATE","PRCP"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-01","0.25"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-02","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-04","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-06","0.15"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-07","0.10"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-08","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-09","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-10","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-11","0.09"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-12","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-13","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-14","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-15","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-17","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-18","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-19","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-20","0.09"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-21",
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-24","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-25","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-26","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-27","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-28","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-29","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-30","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-01-31","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-01","0.45"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-02","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-03","0.01"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-06","0.04"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-07","0.13"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-09","0.02"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-10","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-11","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-12","0.14"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-13","0.31"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-16","0.34"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-17","0.41"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-19","0.00"
"US1MDHR0011","BEL AIR 1.7 W, MD US","2025-02-21","0.00"
